fecha,escenario,variable,valor,unidad,fuente,modulo_origen,fecha_generacion
2026-11-01,baseline_arima,interbancaria,7.484346362476237,porcentaje,ARIMA univariado,M3,2026-05-05
2026-11-01,baseline_arima,deprec_fx,3.148159180046099,porcentaje,ARIMA univariado,M3,2026-05-05
2026-11-01,baseline_arima,embi,1.7523301930635473,puntos_base,ARIMA univariado,M3,2026-05-05
2026-12-01,baseline_arima,crecimiento,6.896872276906995,porcentaje,ARIMA univariado,M3,2026-05-05
2026-12-01,baseline_arima,inflacion,3.96581643159311,porcentaje,ARIMA univariado,M3,2026-05-05
2026-12-01,baseline_arima,interbancaria,7.470420571755075,porcentaje,ARIMA univariado,M3,2026-05-05
2026-12-01,baseline_arima,deprec_fx,3.5352909562968406,porcentaje,ARIMA univariado,M3,2026-05-05
2026-12-01,baseline_arima,embi,1.7556914912530164,puntos_base,ARIMA univariado,M3,2026-05-05
2027-01-01,baseline_arima,crecimiento,6.5108751062696335,porcentaje,ARIMA univariado,M3,2026-05-05
2027-01-01,baseline_arima,inflacion,3.886957636216386,porcentaje,ARIMA univariado,M3,2026-05-05
2027-01-01,baseline_arima,interbancaria,7.458524251913335,porcentaje,ARIMA univariado,M3,2026-05-05
2027-01-01,baseline_arima,deprec_fx,3.594533461203359,porcentaje,ARIMA univariado,M3,2026-05-05
2027-01-01,baseline_arima,embi,1.7572177274396164,puntos_base,ARIMA univariado,M3,2026-05-05
2027-02-01,baseline_arima,crecimiento,5.764779173183237,porcentaje,ARIMA univariado,M3,2026-05-05
2027-02-01,baseline_arima,inflacion,3.927042380734174,porcentaje,ARIMA univariado,M3,2026-05-05
2027-02-01,baseline_arima,interbancaria,7.454305035700161,porcentaje,ARIMA univariado,M3,2026-05-05
2027-02-01,baseline_arima,deprec_fx,3.6858963906157047,porcentaje,ARIMA univariado,M3,2026-05-05
2027-02-01,baseline_arima,embi,1.7562891417888455,puntos_base,ARIMA univariado,M3,2026-05-05
2027-03-01,baseline_arima,crecimiento,5.9381241432134715,porcentaje,ARIMA univariado,M3,2026-05-05
2027-03-01,baseline_arima,inflacion,3.967058932032061,porcentaje,ARIMA univariado,M3,2026-05-05
2027-03-01,baseline_arima,interbancaria,7.456580603355119,porcentaje,ARIMA univariado,M3,2026-05-05
2027-03-01,baseline_arima,deprec_fx,3.7426095556292736,porcentaje,ARIMA univariado,M3,2026-05-05
2027-03-01,baseline_arima,embi,1.7408555870384612,puntos_base,ARIMA univariado,M3,2026-05-05
2027-04-01,baseline_arima,crecimiento,5.624289567635868,porcentaje,ARIMA univariado,M3,2026-05-05
2027-04-01,baseline_arima,inflacion,3.8295422475005267,porcentaje,ARIMA univariado,M3,2026-05-05
2027-04-01,baseline_arima,interbancaria,7.456309079333022,porcentaje,ARIMA univariado,M3,2026-05-05
