"","instrumento","fund","rate","year","month","file"
"51","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","JMMB_BDI",0,2024,"Enero","tasas_2024_66.xlsx"
"52","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","POPULAR",0.000873,2024,"Enero","tasas_2024_66.xlsx"
"53","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","RESERVAS",0.001029,2024,"Enero","tasas_2024_66.xlsx"
"54","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","ROMANA",0,2024,"Enero","tasas_2024_66.xlsx"
"55","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","SIEMBRA",0,2024,"Enero","tasas_2024_66.xlsx"
"56","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","TOTAL_CCI",0.000891235625981703,2024,"Enero","tasas_2024_66.xlsx"
"57","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","RESERVAS-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"58","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","BANCO_CENTRAL-R3",0,2024,"Enero","tasas_2024_66.xlsx"
"59","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","FONDO_DE_SOLIDARIDAD_SOCIAL",0,2024,"Enero","tasas_2024_66.xlsx"
"60","Bonos de Hacienda para financiar desarrollo de  proyectos de infraestructura","TOTAL_SISTEMA",0.000891235625981703,2024,"Enero","tasas_2024_66.xlsx"
"61","Certificados de Depósito EIF1","ATLÁNTICO",0.001258,2024,"Enero","tasas_2024_66.xlsx"
"62","Certificados de Depósito EIF1","CRECER",0.00097,2024,"Enero","tasas_2024_66.xlsx"
"63","Certificados de Depósito EIF1","JMMB_BDI",0.001108,2024,"Enero","tasas_2024_66.xlsx"
"64","Certificados de Depósito EIF1","POPULAR",0.000987,2024,"Enero","tasas_2024_66.xlsx"
"65","Certificados de Depósito EIF1","RESERVAS",0.000628,2024,"Enero","tasas_2024_66.xlsx"
"66","Certificados de Depósito EIF1","ROMANA",0.00112,2024,"Enero","tasas_2024_66.xlsx"
"67","Certificados de Depósito EIF1","SIEMBRA",0.000796,2024,"Enero","tasas_2024_66.xlsx"
"68","Certificados de Depósito EIF1","TOTAL_CCI",0.000916344169317662,2024,"Enero","tasas_2024_66.xlsx"
"69","Certificados de Depósito EIF1","RESERVAS-R3",0.000864,2024,"Enero","tasas_2024_66.xlsx"
"70","Certificados de Depósito EIF1","BANCO_CENTRAL-R3",0.000934,2024,"Enero","tasas_2024_66.xlsx"
"71","Certificados de Depósito EIF1","FONDO_DE_SOLIDARIDAD_SOCIAL",0.000699,2024,"Enero","tasas_2024_66.xlsx"
