"escenario","periodo","retorno_promedio","VaR_95","ES_95","VaR_99","ES_99","min_retorno"
"Baseline VAR","2026-01",9.42277082143161,6.78973837993428,6.1057158291998,5.60411482771605,5.11845601148139,3.86672853412524
"Baseline VAR","2026-02",9.32841759786877,6.93664365677663,5.65441603991323,4.89153161258269,3.53993526869804,-2.93213566897657
"Baseline VAR","2026-03",9.22360002374731,7.23880682742745,5.64953082543426,4.77671101338171,2.98823891874721,-7.90509530591671
"Baseline VAR","2026-04",9.13881575504187,7.48830899274935,5.98464688071946,5.04371967497665,2.83212431918902,-8.14362111339437
"Baseline VAR","2026-05",9.02185899660789,7.52483640962258,6.20675403970328,5.58741907286305,3.18642464471184,-6.49212611197349
"Baseline VAR","2026-06",8.90085920459166,7.54806105386906,6.13934022019904,5.81202455418455,2.66541506253578,-19.7343703549326
"Baseline VAR","2026-07",8.83835634660273,7.52481646854596,6.32340603629424,5.97227632411466,3.57348082536651,-15.0279262496088
"Baseline VAR","2026-08",8.77270121027217,7.47620321413507,6.4187528725498,6.0491529551486,3.8678718325392,-16.2114246740207
"Baseline VAR","2026-09",8.71047128906575,7.44702719698735,6.35288887626635,6.00830099118272,3.80787081062775,-27.8065335114094
"Baseline VAR","2026-10",8.64334987048782,7.35183376584795,6.40582092772228,6.03290171229341,4.3378886888056,-7.88015239269933
"Baseline VAR","2026-11",8.59192206878323,7.30892217153015,6.42650779453435,6.01641248839072,4.55951257102665,-6.85924559848801
"Baseline VAR","2026-12",8.55023517473886,7.32451445180503,6.5230598071148,6.24590581396828,4.72864534670088,-3.33696321999849
"adverso","2026-01",4.78956854683126,-0.536446667120533,-1.9050287535362,-2.77478605871517,-3.75259332368543,-7.62305514198761
"adverso","2026-02",5.33929281975285,0.737053452542238,-1.61199905591985,-3.11608155001911,-5.31785805041562,-15.5347775322445
"adverso","2026-03",5.86329428125686,2.51437325449272,-0.308797973588416,-1.82224625193816,-5.72696793701185,-31.0656745400796
"adverso","2026-04",6.2950720655018,3.67670300693131,0.892558545806943,-0.319513776805173,-5.01247678876473,-23.9926330517218
"adverso","2026-05",6.77871892799129,4.87035558969009,2.33247459495563,1.28749799031836,-3.60223207258078,-47.1504740176322
"adverso","2026-06",7.05828657043792,5.40628405235732,3.22103059643359,2.35770042591714,-1.853288419639,-64.6863651964593
"adverso","2026-07",7.33070649729687,5.87967224680168,3.75455827604051,3.76748827040863,-2.01214242332885,-83.4293766267158
"adverso","2026-08",7.53984076586438,6.15731768933344,4.48271151828066,4.13557836566056,0.221817097502399,-32.4460795503322
"adverso","2026-09",7.72939941381897,6.4195941189472,4.8837113795506,4.93562027419248,0.73897442615547,-55.3011367135805
"adverso","2026-10",7.87049508618076,6.56684219456297,5.45875256614863,5.13038630379765,2.75056358138837,-34.7356110719254
"adverso","2026-11",7.93414903888514,6.68141338512261,5.49361723640912,5.45293220455245,2.43120909723188,-37.74020473159
"adverso","2026-12",8.03582683557454,6.79561158822277,5.9126022722299,5.44061205833057,4.05064167504939,-6.24359107573997
"muy_adverso","2026-01",0.668431580322095,-7.50830216633275,-9.49696912460373,-10.943257303441,-12.3572358877906,-17.0005257702739
"muy_adverso","2026-02",1.73585507029408,-5.2183659414323,-8.73263956090705,-10.8086028942536,-14.6130258129867,-27.4310094204392
"muy_adverso","2026-03",2.63657951682693,-2.62234767243238,-7.30709478521909,-10.0300363186898,-16.0475574127085,-60.865524978927
"muy_adverso","2026-04",3.58585494365157,-0.0604309847034026,-5.10538897833961,-7.2278321229451,-16.3239448467407,-64.654458348526
"muy_adverso","2026-05",4.57273617997403,1.85678278141476,-2.20478089807916,-3.93666177908605,-11.0824464143936,-42.9268838203737
"muy_adverso","2026-06",5.29873692158972,3.26066702183856,0.0853951202567018,-1.62132528142972,-7.17446256823864,-38.389874196664
"muy_adverso","2026-07",5.91080199222914,4.16625264651933,1.62272054711902,0.901548390636397,-4.67316052991969,-55.4936799757754
"muy_adverso","2026-08",6.40338116195472,4.90907542755235,2.5062752132476,2.44102312029502,-4.31819431133959,-86.901094454591
"muy_adverso","2026-09",6.8129436711657,5.43731019718347,3.15036440262705,3.50961814475508,-3.51708186115213,-165.564788255315
"muy_adverso","2026-10",7.13395843474827,5.78368842241109,4.06381744701962,4.2538835935215,-0.799937165163065,-74.5391139901883
"muy_adverso","2026-11",7.36766947208212,6.12354882534671,4.75058393851712,4.67840332381079,1.11520738817187,-64.034776448565
"muy_adverso","2026-12",7.50648097782417,6.2383627369722,4.98741844302842,4.74236415224318,1.93878600628379,-21.8696266433214
