"trimestre","fecha","pib_baseline","pib_adverso","delta_pib","inflacion_baseline","inflacion_adverso","delta_inflacion","tasa_baseline","tasa_adverso","delta_tasa","fx_baseline","fx_adverso","delta_fx","spread_baseline","spread_adverso","delta_spread"
1,2061-09-29,3.70223186954356,-7.7504144862278,-11.4526463557714,4.99111301546052,7.83861650713935,2.84750349167882,7.15394715611306,8.65394715611306,1.5,3.89393871202957,10.0373894628519,6.14345075082231,2.0368441777712,4.0368441777712,2
2,2061-12-29,4.26965728297857,-7.56858982450992,-11.8382471074885,5.05806298944279,8.18678243108421,3.12871944164142,7.38311798568114,9.46963865104824,2.0865206653671,3.8684632276895,11.7707746429813,7.90231141529181,2.40016815036846,5.10645573855593,2.70628758818746
3,2062-03-29,4.36626020024737,-5.59128386677043,-9.9575440670178,5.05481576550257,8.02951612177018,2.97470035626761,7.62668173552687,9.81963077234212,2.19294903681525,3.93286752058777,12.142750451337,8.20988293074918,2.74471100528393,5.84312050405692,3.09840949877298
4,2062-06-29,4.28945523960558,-3.8795806429526,-8.16903588255818,5.00797344237983,7.69270868434354,2.68473524196371,7.8404941629494,9.92236965764587,2.08187549469647,3.98843548047548,11.8568479096371,7.86841242916158,3.04896810023989,6.40218967493108,3.35322157469119
5,2062-09-29,4.15796205798884,-2.6051011831636,-6.76306324115244,4.93367764797809,7.25794429045325,2.32426664247516,8.00932759301566,9.87227785950096,1.8629502664853,4.01948465323923,11.2086992906553,7.18921463741608,3.30912619848291,6.81124783424011,3.50212163575719
6,2062-12-29,4.0179287691099,-1.63935652119986,-5.65728529030976,4.8426240768481,6.77865339979563,1.93602932294753,8.13218764304015,9.71420091823373,1.58201327519358,4.03211875025639,10.3835394384145,6.35142068815815,3.52606329417394,7.07894411863053,3.55288082445659
7,2063-03-29,3.88912769744859,-0.86476723764186,-4.75389493509045,4.74298591235122,6.2978819317748,1.55489601942358,8.21328641544373,9.47677108977854,1.26348467433481,4.03497388199951,9.50385823857984,5.46888435658033,3.70234968005301,7.21538993207988,3.51304025202687
8,2063-06-29,3.7804978686392,-0.204495815659913,-3.98499368429911,4.6411731434775,5.84717815252963,1.20600500905213,8.25834966360811,9.18324814975841,0.924898486150299,4.0343678223197,8.64489028922247,4.61052246690277,3.8414777532634,7.23552041829399,3.3940426650306
