"escenario","periodo","simulacion","retorno_simulado"
"Baseline VAR","2026-08",10,9.13217504051278
"Baseline VAR","2026-09",10,8.00347705782672
"Baseline VAR","2026-10",10,8.7668698907001
"Baseline VAR","2026-11",10,8.89976030768185
"Baseline VAR","2026-12",10,8.53327848131793
"Baseline VAR","2026-01",11,9.1132755346024
"Baseline VAR","2026-02",11,8.92099439915049
"Baseline VAR","2026-03",11,10.4046190433317
"Baseline VAR","2026-04",11,9.96596751747695
"Baseline VAR","2026-05",11,10.6205242928413
"Baseline VAR","2026-06",11,9.03482751768369
"Baseline VAR","2026-07",11,8.54283216879589
"Baseline VAR","2026-08",11,7.97894641823949
"Baseline VAR","2026-09",11,8.17006612758799
"Baseline VAR","2026-10",11,8.78465873152323
"Baseline VAR","2026-11",11,9.06116022063976
"Baseline VAR","2026-12",11,8.70207541853939
"Baseline VAR","2026-01",12,7.52729504569894
"Baseline VAR","2026-02",12,10.4968949566326
"Baseline VAR","2026-03",12,7.355526715934
"Baseline VAR","2026-04",12,8.4788516060796
"Baseline VAR","2026-05",12,8.77907348085948
"Baseline VAR","2026-06",12,7.95945072640838
"Baseline VAR","2026-07",12,9.71572391488096
"Baseline VAR","2026-08",12,8.19798279861432
"Baseline VAR","2026-09",12,8.47139660395906
"Baseline VAR","2026-10",12,9.3213268974739
"Baseline VAR","2026-11",12,9.06899718560474
"Baseline VAR","2026-12",12,8.48008021982285
"Baseline VAR","2026-01",13,10.2538139872463
"Baseline VAR","2026-02",13,9.67621558690884
"Baseline VAR","2026-03",13,10.1181141799588
"Baseline VAR","2026-04",13,9.35872461975756
"Baseline VAR","2026-05",13,9.25831000074185
"Baseline VAR","2026-06",13,9.08847618158295
"Baseline VAR","2026-07",13,8.65467177868338
"Baseline VAR","2026-08",13,8.80661097857308
"Baseline VAR","2026-09",13,9.43139962804712
"Baseline VAR","2026-10",13,7.9446390992104
"Baseline VAR","2026-11",13,8.68176595490332
"Baseline VAR","2026-12",13,9.16653910680263
"Baseline VAR","2026-01",14,9.04335580437018
"Baseline VAR","2026-02",14,8.74152941884271
"Baseline VAR","2026-03",14,8.61738007194572
"Baseline VAR","2026-04",14,8.83432141318158
"Baseline VAR","2026-05",14,8.57435229342366
"Baseline VAR","2026-06",14,8.76105160527941
"Baseline VAR","2026-07",14,8.63942683229175
"Baseline VAR","2026-08",14,8.67256307243741
"Baseline VAR","2026-09",14,8.88018771190421
"Baseline VAR","2026-10",14,8.93595722726702
"Baseline VAR","2026-11",14,9.4609712691473
"Baseline VAR","2026-12",14,8.48563660413786
"Baseline VAR","2026-01",15,8.9039029273579
"Baseline VAR","2026-02",15,10.2764741672921
"Baseline VAR","2026-03",15,10.838120511568
"Baseline VAR","2026-04",15,9.17087461039636
"Baseline VAR","2026-05",15,8.85485149316469
"Baseline VAR","2026-06",15,8.06403983027505
"Baseline VAR","2026-07",15,10.0723805495
"Baseline VAR","2026-08",15,7.76484892607581
"Baseline VAR","2026-09",15,7.58157205484336
"Baseline VAR","2026-10",15,11.9440829947512
"Baseline VAR","2026-11",15,9.28733182633585
"Baseline VAR","2026-12",15,8.52165092737867
"Baseline VAR","2026-01",16,5.00366627537102
"Baseline VAR","2026-02",16,8.93715630876179
"Baseline VAR","2026-03",16,9.77131776317768
"Baseline VAR","2026-04",16,9.38105405787647
"Baseline VAR","2026-05",16,9.46998886869703
"Baseline VAR","2026-06",16,10.1224504369402
"Baseline VAR","2026-07",16,10.1926708961325
"Baseline VAR","2026-08",16,8.10497134553538
"Baseline VAR","2026-09",16,9.21241805806665
"Baseline VAR","2026-10",16,8.51114783785758
"Baseline VAR","2026-11",16,8.34082308419977
"Baseline VAR","2026-12",16,7.12302332875131
"Baseline VAR","2026-01",17,8.1456407272683
"Baseline VAR","2026-02",17,9.92658549752967
"Baseline VAR","2026-03",17,10.7181649325406
"Baseline VAR","2026-04",17,9.81015197476336
"Baseline VAR","2026-05",17,9.48203344392545
"Baseline VAR","2026-06",17,8.31918804030178
"Baseline VAR","2026-07",17,8.9458525190186
"Baseline VAR","2026-08",17,7.80781816016085
"Baseline VAR","2026-09",17,9.15986793660002
"Baseline VAR","2026-10",17,9.06239631591442
"Baseline VAR","2026-11",17,8.69752443561945
"Baseline VAR","2026-12",17,8.86768162311853
"Baseline VAR","2026-01",18,9.92696099252053
"Baseline VAR","2026-02",18,9.8129052549798
"Baseline VAR","2026-03",18,10.3569590393763
"Baseline VAR","2026-04",18,10.337545075625
"Baseline VAR","2026-05",18,9.04349714868668
"Baseline VAR","2026-06",18,8.4145547803401
"Baseline VAR","2026-07",18,9.09670404799546
"Baseline VAR","2026-08",18,8.55823791638408
"Baseline VAR","2026-09",18,9.41514862896047
"Baseline VAR","2026-10",18,7.38417404982316
"Baseline VAR","2026-11",18,8.08979270673018
"Baseline VAR","2026-12",18,8.81292536469198
"Baseline VAR","2026-01",19,9.1774157258878
"Baseline VAR","2026-02",19,9.02993516531545
"Baseline VAR","2026-03",19,9.05787973932827
"Baseline VAR","2026-04",19,9.40088711842429
"Baseline VAR","2026-05",19,9.46902443758816
"Baseline VAR","2026-06",19,9.31610150117613
"Baseline VAR","2026-07",19,10.1340464998521
"Baseline VAR","2026-08",19,10.2147244860037
"Baseline VAR","2026-09",19,9.08885261519051
"Baseline VAR","2026-10",19,8.26382962039269
"Baseline VAR","2026-11",19,10.2163801564201
"Baseline VAR","2026-12",19,9.57241513489032
"Baseline VAR","2026-01",20,8.31599893452499
"Baseline VAR","2026-02",20,9.53302811621895
"Baseline VAR","2026-03",20,9.06048300951506
"Baseline VAR","2026-04",20,8.97699672200597
"Baseline VAR","2026-05",20,8.57395347363189
"Baseline VAR","2026-06",20,8.98323834808259
"Baseline VAR","2026-07",20,8.97725535530435
"Baseline VAR","2026-08",20,8.25901580147411
"Baseline VAR","2026-09",20,6.65462415878329
"Baseline VAR","2026-10",20,8.16233595652156
"Baseline VAR","2026-11",20,8.60720720710244
"Baseline VAR","2026-12",20,8.81304462655969
"Baseline VAR","2026-01",21,9.51848585357711
"Baseline VAR","2026-02",21,9.51973621788999
"Baseline VAR","2026-03",21,8.69259353696084
"Baseline VAR","2026-04",21,9.56485755077231
"Baseline VAR","2026-05",21,9.44009615758708
"Baseline VAR","2026-06",21,9.06323379824022
"Baseline VAR","2026-07",21,9.46618039546048
"Baseline VAR","2026-08",21,9.05093602244875
"Baseline VAR","2026-09",21,8.83192313042713
"Baseline VAR","2026-10",21,8.76257533474489
"Baseline VAR","2026-11",21,8.79031141111242
"Baseline VAR","2026-12",21,9.05772158699357
"Baseline VAR","2026-01",22,10.1542249969782
"Baseline VAR","2026-02",22,9.85474052909662
"Baseline VAR","2026-03",22,8.48368385619206
"Baseline VAR","2026-04",22,8.81289536908841
"Baseline VAR","2026-05",22,9.76903386983855
"Baseline VAR","2026-06",22,7.91933339539463
"Baseline VAR","2026-07",22,9.08890568094684
"Baseline VAR","2026-08",22,8.96345662656469
"Baseline VAR","2026-09",22,9.16602204403385
"Baseline VAR","2026-10",22,8.42474923488276
"Baseline VAR","2026-11",22,8.66610488460088
"Baseline VAR","2026-12",22,7.74930266670009
"Baseline VAR","2026-01",23,9.97049413883836
"Baseline VAR","2026-02",23,8.89098674689602
"Baseline VAR","2026-03",23,9.07491528402324
"Baseline VAR","2026-04",23,8.55373545827584
"Baseline VAR","2026-05",23,9.26036053333836
"Baseline VAR","2026-06",23,9.24877232806152
"Baseline VAR","2026-07",23,8.66963675326793
"Baseline VAR","2026-08",23,9.61851185134321
"Baseline VAR","2026-09",23,9.28820737036041
"Baseline VAR","2026-10",23,9.29387699886125
"Baseline VAR","2026-11",23,10.0940427941934
"Baseline VAR","2026-12",23,7.62895400179565
"Baseline VAR","2026-01",24,10.7307235960804
"Baseline VAR","2026-02",24,10.5600574073403
"Baseline VAR","2026-03",24,9.20947758506733
"Baseline VAR","2026-04",24,9.24834805669899
"Baseline VAR","2026-05",24,8.53450982243766
"Baseline VAR","2026-06",24,9.20224850513634
"Baseline VAR","2026-07",24,8.47205410475705
"Baseline VAR","2026-08",24,9.20817728719347
"Baseline VAR","2026-09",24,8.20960993036243
"Baseline VAR","2026-10",24,8.83688997887441
"Baseline VAR","2026-11",24,8.18205324592563
"Baseline VAR","2026-12",24,8.40573814841889
"Baseline VAR","2026-01",25,6.91119882419977
"Baseline VAR","2026-02",25,9.62387173991228
"Baseline VAR","2026-03",25,9.72642831428224
"Baseline VAR","2026-04",25,9.22227572098379
"Baseline VAR","2026-05",25,8.19401562972853
"Baseline VAR","2026-06",25,8.38821839568038
"Baseline VAR","2026-07",25,9.90471182421293
"Baseline VAR","2026-08",25,10.66407237183
"Baseline VAR","2026-09",25,6.63936073074556
"Baseline VAR","2026-10",25,7.94864466588972
"Baseline VAR","2026-11",25,8.85733096256638
"Baseline VAR","2026-12",25,8.70884056329945
"Baseline VAR","2026-01",26,8.48479930963469
"Baseline VAR","2026-02",26,8.42981667075465
"Baseline VAR","2026-03",26,9.05211182273266
"Baseline VAR","2026-04",26,9.58081469315191
"Baseline VAR","2026-05",26,9.01940476732765
"Baseline VAR","2026-06",26,8.62405335583657
"Baseline VAR","2026-07",26,8.57276094577971
"Baseline VAR","2026-08",26,9.57322757884801
"Baseline VAR","2026-09",26,8.31565710147264
"Baseline VAR","2026-10",26,9.06592937522004
"Baseline VAR","2026-11",26,9.45267549927307
"Baseline VAR","2026-12",26,8.94115858686414
"Baseline VAR","2026-01",27,8.74073346779117
"Baseline VAR","2026-02",27,9.30140868114411
"Baseline VAR","2026-03",27,8.99619638208897
"Baseline VAR","2026-04",27,9.70512819704141
"Baseline VAR","2026-05",27,8.90085274438725
"Baseline VAR","2026-06",27,9.62230633011636
"Baseline VAR","2026-07",27,8.39974796366183
"Baseline VAR","2026-08",27,8.37834834761462
"Baseline VAR","2026-09",27,8.77575028493377
"Baseline VAR","2026-10",27,8.64931872046175
"Baseline VAR","2026-11",27,8.3633730288202
"Baseline VAR","2026-12",27,7.77199602282756
"Baseline VAR","2026-01",28,9.47146920315271
"Baseline VAR","2026-02",28,9.00956640516958
"Baseline VAR","2026-03",28,9.79153309981988
"Baseline VAR","2026-04",28,8.45889191268012
"Baseline VAR","2026-05",28,9.8251794661232
"Baseline VAR","2026-06",28,8.35940449179997
"Baseline VAR","2026-07",28,9.02790713512913
"Baseline VAR","2026-08",28,9.19125111541471
"Baseline VAR","2026-09",28,8.38996560362836
"Baseline VAR","2026-10",28,8.92841270830726
"Baseline VAR","2026-11",28,8.54362609612784
"Baseline VAR","2026-12",28,8.03731600356179
"Baseline VAR","2026-01",29,8.98600413952212
"Baseline VAR","2026-02",29,10.290760940403
"Baseline VAR","2026-03",29,9.01064664533849
"Baseline VAR","2026-04",29,8.71041922355837
"Baseline VAR","2026-05",29,8.97415354765018
"Baseline VAR","2026-06",29,9.06237167203325
"Baseline VAR","2026-07",29,9.27851589660906
"Baseline VAR","2026-08",29,9.44341744067378
"Baseline VAR","2026-09",29,8.77118350625877
"Baseline VAR","2026-10",29,9.16507855292555
"Baseline VAR","2026-11",29,8.09429094778737
"Baseline VAR","2026-12",29,7.07679215983458
"Baseline VAR","2026-01",30,8.65992417133669
"Baseline VAR","2026-02",30,8.91259321203494
"Baseline VAR","2026-03",30,7.86906946037036
"Baseline VAR","2026-04",30,9.82464754422052
"Baseline VAR","2026-05",30,8.3936311371481
"Baseline VAR","2026-06",30,8.75540005268671
"Baseline VAR","2026-07",30,8.0887799495178
"Baseline VAR","2026-08",30,9.19746532960233
"Baseline VAR","2026-09",30,9.81573392677511
"Baseline VAR","2026-10",30,7.68007792241446
"Baseline VAR","2026-11",30,8.48077672620099
"Baseline VAR","2026-12",30,9.43856129448511
"Baseline VAR","2026-01",31,10.9332210201928
"Baseline VAR","2026-02",31,12.037812916736
"Baseline VAR","2026-03",31,9.20395499832368
"Baseline VAR","2026-04",31,9.03752197397219
"Baseline VAR","2026-05",31,8.77486818741015
"Baseline VAR","2026-06",31,9.61985736112658
"Baseline VAR","2026-07",31,7.84308620589956
"Baseline VAR","2026-08",31,9.06358246955206
"Baseline VAR","2026-09",31,8.67120643390218
"Baseline VAR","2026-10",31,9.64663637619155
"Baseline VAR","2026-11",31,7.98018646618112
"Baseline VAR","2026-12",31,7.48767368398972
"Baseline VAR","2026-01",32,9.79910438440148
"Baseline VAR","2026-02",32,9.30940001486342
"Baseline VAR","2026-03",32,8.84110510475838
"Baseline VAR","2026-04",32,9.17946789957309
"Baseline VAR","2026-05",32,8.8803292184478
"Baseline VAR","2026-06",32,8.60172249335527
"Baseline VAR","2026-07",32,9.0968938478753
"Baseline VAR","2026-08",32,8.59282936769992
"Baseline VAR","2026-09",32,7.83048941979852
"Baseline VAR","2026-10",32,6.28047684371577
"Baseline VAR","2026-11",32,7.34523308407931
"Baseline VAR","2026-12",32,10.2808617960122
"Baseline VAR","2026-01",33,10.778454115529
"Baseline VAR","2026-02",33,10.892762012641
"Baseline VAR","2026-03",33,10.6488166933138
"Baseline VAR","2026-04",33,9.53153850399215
"Baseline VAR","2026-05",33,8.12193793149182
"Baseline VAR","2026-06",33,9.10008852059264
"Baseline VAR","2026-07",33,9.59456964307739
"Baseline VAR","2026-08",33,6.00607042503281
"Baseline VAR","2026-09",33,6.75152004140433
"Baseline VAR","2026-10",33,10.6054019644228
"Baseline VAR","2026-11",33,9.54297408634006
"Baseline VAR","2026-12",33,9.30363557597019
"Baseline VAR","2026-01",34,10.162165135497
"Baseline VAR","2026-02",34,9.75976505935728
"Baseline VAR","2026-03",34,9.22535565308836
"Baseline VAR","2026-04",34,8.69569138800884
"Baseline VAR","2026-05",34,8.29723096805613
"Baseline VAR","2026-06",34,8.94234102826779
"Baseline VAR","2026-07",34,8.64443493493399
"Baseline VAR","2026-08",34,8.33070332010778
"Baseline VAR","2026-09",34,8.9408417009137
