periodo,escenario,crecimiento,deprec_fx,embi,inflacion,interbancaria
2025-08,histórico,1.4901733852201282,4.1129742410261905,2.98,3.6505954844530564,10.71
2025-09,histórico,1.100355986521695,4.745771893565287,2.87,3.684467698075178,8.42
2025-10,histórico,0.17880368872980057,5.727833727359322,2.8,4.1411281546306355,7.14
2025-11,histórico,3.111327335277103,5.733336216158147,2.84,4.702412201201156,6.83
2025-12,histórico,2.2858138076050416,4.335242991202293,2.78,4.838208418009149,7
2026-01,Baseline VAR,3.778103483662365,3.647359562643919,2.8963651678291775,4.854202836461878,7.008076512276599
2026-01,adverso,-2,6,6.5,7,11
2026-01,muy_adverso,-6,12,8.5,10,15
2026-02,Baseline VAR,4.72335025552177,3.3453219590101595,3.082041498601095,4.938328373490192,7.032579430298727
2026-02,adverso,-1,5.5,6.25,6.8,10.5
2026-02,muy_adverso,-4,10,8,9.5,14
2026-03,Baseline VAR,5.148713101169086,3.093876498818183,3.292113091027047,5.002212309035562,7.060618064010839
2026-03,adverso,0.5,5,6,6.5,10
2026-03,muy_adverso,-2,9,7.5,9,13
2026-04,Baseline VAR,5.292891747542685,2.839432062479193,3.4900819745509093,5.026023704337392,7.096496514589381
2026-04,adverso,1,4.5,5.75,6.2,9.5
2026-04,muy_adverso,-1,8,7,8.5,12
2026-05,Baseline VAR,5.291757871267388,2.6057530178840773,3.66305595537105,5.019320921583483,7.141415372111594
2026-05,adverso,1.5,4,5.5,6,9
2026-05,muy_adverso,0,7,6.5,8,11
2026-06,Baseline VAR,5.216683953699863,2.4155153254131383,3.810657089087634,4.995240344616692,7.1930045548947295
2026-06,adverso,2.083137196532509,3.847281904016463,4.9060194023215296,6.004921886720237,8.95212153556617
2026-06,muy_adverso,0.18358021667741342,6.315343056602059,5.223822996820422,7.880564091668224,10.871156277174792
2026-07,Baseline VAR,5.10831183673637,2.2773434965852575,3.9358064460712257,4.963887473020333,7.248118177351291
2026-07,adverso,2.4623990772381106,3.697495207435849,4.351248500034464,5.999453564107788,8.945598119206952
2026-07,muy_adverso,0.4031895290292775,5.6117852663809735,4.006321016425478,7.710546188064185,10.820394393881083
2026-08,Baseline VAR,4.990258829679005,2.1893012715605984,4.041125704014432,4.931721027946813,7.304118998278815
2026-08,adverso,2.7485555600415186,3.5264957562200916,3.903427837703732,5.95990873506588,8.94456232600462
2026-08,muy_adverso,0.7725845489656042,4.997977328009955,3.029027326263537,7.504403142117312,10.784161360275144
2026-09,Baseline VAR,4.875324231401429,2.1439392030332876,4.128342718467194,4.902248306979084,7.359162427593769
2026-09,adverso,2.9941864931304467,3.353180130926061,3.569697518557877,5.896252686725355,8.945364417239498
2026-09,muy_adverso,1.2379624947519017,4.495214257620943,2.3224910096992746,7.291673964127637,10.749299438593695
2026-10,Baseline VAR,4.769429827762089,2.131938542768059,4.1986757576291955,4.876898789249421,7.41211034888901
2026-10,adverso,3.2171958524276953,3.1906924466499698,3.338458467396131,5.8194756614722865,8.946233653145669
2026-10,muy_adverso,1.7459704634152189,4.081522975103531,1.8575591216853842,7.0856231149032665,10.710460356949289
2026-11,Baseline VAR,4.6744874741335725,2.14425330738052,4.253293018600001,4.855807865934443,7.46234923295029
2026-11,adverso,3.420467921443069,3.044522991334326,3.191718325370373,5.736728222522487,8.946077403064624
2026-11,muy_adverso,2.251501187222327,3.731358679941466,1.5856025892800019,6.889451983818893,10.666690124065994
2026-12,Baseline VAR,4.590384186533659,2.173145932972245,4.293575016503597,4.838428250816427,7.50961283238764
2026-12,adverso,3.6008603849058227,2.916170210035448,3.110832518980591,5.6518075032393265,8.944471119999424
2026-12,muy_adverso,2.717724093434611,3.427260269041736,1.4581885233071437,6.701603351794894,10.619098488227312
