"fecha_indice","mes","horizonte","inflacion_baseline","inflacion_adversa","shock_inflacion_pp","tasa_nominal_baseline","tasa_nominal_adversa","tasa_real_baseline","tasa_real_adversa"
2026,1,"m+1",4.89276720551944,5.9700453238434,1.07727811832396,7.09461343729131,7.09461343729131,2.20184623177186,1.1245681134479
2026.08333333333,2,"m+2",4.91898566083195,5.99626377915591,1.07727811832396,7.13357696961295,7.13357696961295,2.21459130878099,1.13731319045704
2026.16666666667,3,"m+3",4.93056427701247,6.00784239533643,1.07727811832396,7.13357696961295,7.13357696961295,2.20301269260048,1.12573457427652
2026.25,4,"m+4",4.93567763518165,5.65386304739763,0.718185412215973,7.13357696961295,7.13357696961295,2.19789933443129,1.47971392221532
2026.33333333333,5,"m+5",4.93793580069632,5.5124841304691,0.574548329772778,7.13357696961295,7.13357696961295,2.19564116891663,1.62109283914385
2026.41666666667,6,"m+6",4.93893305364104,5.29802575974903,0.359092706107986,7.13357696961295,7.13357696961295,2.19464391597191,1.83555120986392
2026.5,7,"m+7",4.93937346132121,4.93937346132121,0,7.13357696961295,7.13357696961295,2.19420350829174,2.19420350829174
2026.58333333333,8,"m+8",4.93956795452955,4.93956795452955,0,7.13357696961295,7.13357696961295,2.19400901508339,2.19400901508339
2026.66666666667,9,"m+9",4.93965384678302,4.93965384678302,0,7.13357696961295,7.13357696961295,2.19392312282993,2.19392312282993
2026.75,10,"m+10",4.93969177859189,4.93969177859189,0,7.13357696961295,7.13357696961295,2.19388519102106,2.19388519102106
2026.83333333333,11,"m+11",4.93970853006907,4.93970853006907,0,7.13357696961295,7.13357696961295,2.19386843954388,2.19386843954388
2026.91666666667,12,"m+12",4.93971592787045,4.93971592787045,0,7.13357696961295,7.13357696961295,2.1938610417425,2.1938610417425
2027,13,"m+13",4.93971919489368,4.93971919489368,0,7.13357696961295,7.13357696961295,2.19385777471927,2.19385777471927
2027.08333333333,14,"m+14",4.93972063767922,4.93972063767922,0,7.13357696961295,7.13357696961295,2.19385633193373,2.19385633193373
2027.16666666667,15,"m+15",4.93972127484337,4.93972127484337,0,7.13357696961295,7.13357696961295,2.19385569476958,2.19385569476958
2027.25,16,"m+16",4.93972155622834,4.93972155622834,0,7.13357696961295,7.13357696961295,2.19385541338461,2.19385541338461
2027.33333333333,17,"m+17",4.93972168049381,4.93972168049381,0,7.13357696961295,7.13357696961295,2.19385528911914,2.19385528911914
2027.41666666667,18,"m+18",4.93972173537202,4.93972173537202,0,7.13357696961295,7.13357696961295,2.19385523424092,2.19385523424092
2027.5,19,"m+19",4.93972175960739,4.93972175960739,0,7.13357696961295,7.13357696961295,2.19385521000556,2.19385521000556
2027.58333333333,20,"m+20",4.93972177031023,4.93972177031023,0,7.13357696961295,7.13357696961295,2.19385519930272,2.19385519930272
2027.66666666667,21,"m+21",4.93972177503683,4.93972177503683,0,7.13357696961295,7.13357696961295,2.19385519457612,2.19385519457612
2027.75,22,"m+22",4.93972177712419,4.93972177712419,0,7.13357696961295,7.13357696961295,2.19385519248875,2.19385519248875
2027.83333333333,23,"m+23",4.93972177804602,4.93972177804602,0,7.13357696961295,7.13357696961295,2.19385519156693,2.19385519156693
2027.91666666667,24,"m+24",4.93972177845311,4.93972177845311,0,7.13357696961295,7.13357696961295,2.19385519115983,2.19385519115983
