"periodo","escenario","crecimiento","deprec_fx","embi","inflacion","interbancaria","retorno_estimado"
"2026-01","Baseline VAR",3.77810348366237,3.64735956264392,2.89636516782918,4.85420283646188,7.0080765122766,10.6014237665484
"2026-01","adverso",-2,6,6.5,7,11,9.18013438697207
"2026-01","muy_adverso",-6,12,8.5,10,15,7.80991904308925
"2026-02","Baseline VAR",4.72335025552177,3.34532195901016,3.08204149860109,4.93832837349019,7.03257943029873,10.5741318610431
"2026-02","adverso",-1,5.5,6.25,6.8,10.5,9.33463247632301
"2026-02","muy_adverso",-4,10,8,9.5,14,8.12929864343578
"2026-03","Baseline VAR",5.14871310116909,3.09387649881818,3.29211309102705,5.00221230903556,7.06061806401084,10.5446409277504
"2026-03","adverso",0.5,5,6,6.5,10,9.50090614656231
"2026-03","muy_adverso",-2,9,7.5,9,13,8.44867824378231
"2026-04","Baseline VAR",5.29289174754268,2.83943206247919,3.49008197455091,5.02602370433739,7.09649651458938,10.517839518919
"2026-04","adverso",1,4.5,5.75,6.2,9.5,9.66439549831418
"2026-04","muy_adverso",-1,8,7,8.5,12,8.7652735256414
"2026-05","Baseline VAR",5.29175787126739,2.60575301788408,3.66305595537105,5.01932092158348,7.14141537211159,10.4939482579915
"2026-05","adverso",1.5,4,5.5,6,9,9.8175014284214
"2026-05","muy_adverso",0,7,6.5,8,11,9.08186880750049
"2026-06","Baseline VAR",5.21668395369986,2.41551532541314,3.81065708908763,4.99524034461669,7.19300455489473,10.4723538277804
"2026-06","adverso",2.08313719653251,3.84728190401646,4.90601940232153,6.00492188672024,8.95212153556617,9.87970647915837
"2026-06","muy_adverso",0.183580216677413,6.31534305660206,5.22382299682042,7.88056409166822,10.8711562771748,9.23173637087545
"2026-07","Baseline VAR",5.10831183673637,2.27734349658526,3.93580644607123,4.96388747302033,7.24811817735129,10.4525612010546
"2026-07","adverso",2.46239907723811,3.69749520743585,4.35124850003446,5.99945356410779,8.94559811920695,9.93001362068537
"2026-07","muy_adverso",0.403189529029278,5.61178526638097,4.00632101642548,7.71054618806418,10.8203943938811,9.36483489966124
"2026-08","Baseline VAR",4.99025882967901,2.1893012715606,4.04112570401443,4.93172102794681,7.30411899827882,10.4343205611873
"2026-08","adverso",2.74855556004152,3.52649575622009,3.90342783770373,5.95990873506588,8.94456232600462,9.97328685478337
"2026-08","muy_adverso",0.772584548965604,4.99797732800995,3.02902732626354,7.50440314211731,10.7841613602751,9.4784554452116
"2026-09","Baseline VAR",4.87532423140143,2.14393920303329,4.12834271846719,4.90224830697908,7.35916242759377,10.4175607276691
"2026-09","adverso",2.99418649313045,3.35318013092606,3.56969751855788,5.89625268672536,8.9453644172395,10.0088300933936
"2026-09","muy_adverso",1.2379624947519,4.49521425762094,2.32249100969927,7.29167396412764,10.7492994385937,9.56966459282208
"2026-10","Baseline VAR",4.76942982776209,2.13193854276806,4.1986757576292,4.87689878924942,7.41211034888901,10.4022955895757
"2026-10","adverso",3.2171958524277,3.19069244664997,3.33845846739613,5.81947566147229,8.94623365314567,10.0369283116947
"2026-10","muy_adverso",1.74597046341522,4.08152297510353,1.85755912168538,7.08562311490327,10.7104603569493,9.64059250391693
"2026-11","Baseline VAR",4.67448747413357,2.14425330738052,4.2532930186,4.85580786593444,7.46234923295029,10.3885514612357
"2026-11","adverso",3.42046792144307,3.04452299133433,3.19171832537037,5.73672822252249,8.94607740306462,10.0586191910795
"2026-11","muy_adverso",2.25150118722233,3.73135867994147,1.58560258928,6.88945198381889,10.666690124066,9.69513237971429
"2026-12","Baseline VAR",4.59038418653366,2.17314593297225,4.2935750165036,4.83842825081643,7.50961283238764,10.3763256591453
"2026-12","adverso",3.60086038490582,2.91617021003545,3.11083251898059,5.65180750323933,8.94447111999942,10.0751808713334
"2026-12","muy_adverso",2.71772409343461,3.42726026904174,1.45818852330714,6.70160335179489,10.6190984882273,9.73722527179381
