"","date","fondo","rentabilidad"
"112",2004-05-01,"Camino1","0.24859999999999999"
"113",2004-05-01,"Caribalico2","0.23"
"114",2004-05-01,"Crecer","0.26079999999999998"
"115",2004-05-01,"JMMB-BDI","0"
"116",2004-05-01,"León3","0.2424"
"117",2004-05-01,"Popular","0.25359999999999999"
"118",2004-05-01,"Porvenir4","0.25729999999999997"
"119",2004-05-01,"Reservas","0.24"
"120",2004-05-01,"Romana","0.23569999999999999"
"121",2004-05-01,"Siembra","0.25800000000000001"
"122",2004-06-01,"Atlántico","0"
"123",2004-06-01,"Camino1","0.24943927661895682"
"124",2004-06-01,"Caribalico2","0.23157061194717743"
"125",2004-06-01,"Crecer","0.25640350450218641"
"126",2004-06-01,"JMMB-BDI","0"
"127",2004-06-01,"León3","0.24417411856634486"
"128",2004-06-01,"Popular","0.25161835941955646"
"129",2004-06-01,"Porvenir4","0.25369099954350771"
"130",2004-06-01,"Reservas","0.24219268111301751"
"131",2004-06-01,"Romana","0.23786225886181467"
"132",2004-06-01,"Siembra","0.25939562536518013"
"133",2004-07-01,"Atlántico","0"
"134",2004-07-01,"Camino1","0.25708712502840098"
"135",2004-07-01,"Caribalico2","0.23947095495242701"
"136",2004-07-01,"Crecer","0.25931763642996303"
"137",2004-07-01,"JMMB-BDI","0"
"138",2004-07-01,"León3","0.25254214912046002"
"139",2004-07-01,"Popular","0.25121985790829798"
"140",2004-07-01,"Porvenir4","0.256631236517185"
"141",2004-07-01,"Reservas","0.25320681007691698"
"142",2004-07-01,"Romana","0.24748988251309301"
"143",2004-07-01,"Siembra","0.26530226052637301"
"144",2004-08-01,"Atlántico","0"
"145",2004-08-01,"Camino1","0.26305129050709802"
"146",2004-08-01,"Caribalico2","0.246883437035989"
"147",2004-08-01,"Crecer","0.24850692793639101"
"148",2004-08-01,"JMMB-BDI","0"
"149",2004-08-01,"León3","0.25792354408342499"
"150",2004-08-01,"Popular","0.219555805682001"
"151",2004-08-01,"Porvenir4","0.24571966189955"
"152",2004-08-01,"Reservas","0.26009507263938902"
"153",2004-08-01,"Romana","0.254042453533327"
"154",2004-08-01,"Siembra","0.250519918870164"
"155",2004-09-01,"Atlántico","0"
"156",2004-09-01,"Camino1","0.262979003155066"
"157",2004-09-01,"Caribalico2","0.24738624107961699"
"158",2004-09-01,"Crecer","0.23116061056479301"
"159",2004-09-01,"JMMB-BDI","0"
"160",2004-09-01,"León3","0.25771506890099499"
"161",2004-09-01,"Popular","0.20968937361775999"
"162",2004-09-01,"Porvenir4","0.22856000327328799"
"163",2004-09-01,"Reservas","0.26127063412120599"
"164",2004-09-01,"Romana","0.25131995584339201"
"165",2004-09-01,"Siembra","0.23928237264577801"
"166",2004-10-01,"Atlántico","0"
