periodo,escenario,crecimiento,deprec_fx,embi,inflacion,interbancaria
2025-08,histórico,1.501331827,2.670182957,1.89,3.718048025,8.5962
2025-09,histórico,1.106432169,1.139829828,1.79,3.753185574,7.3216
2025-10,histórico,0.178963638,1.222222222,1.79,4.228068822,6.3831
2025-11,histórico,3.160235033,0.188176258,1.85,4.81472922,6.0495
2025-12,histórico,2.312138728,-0.391297543,1.75,4.957160343,6.0848
2026-01,Baseline VAR,5.294380717495229,-0.1251547345976812,1.834813666922655,5.146431832980012,6.060652746307945
2026-01,adverso,-2,10,6.5,7.5,11
2026-01,muy_adverso,-6,20,8.5,10.5,15
2026-02,Baseline VAR,7.010061498203376,0.029128971821081893,1.959477963476405,5.405770106184026,5.9872277753504335
2026-02,adverso,-1,5.5,6.25,6.8,10.5
2026-02,muy_adverso,-4,10,8,9.5,14
2026-03,Baseline VAR,7.705055575321114,-0.027242717048229538,2.103004543461461,5.570321871464445,5.930405233494976
2026-03,adverso,0.5,5,6,6.5,10
2026-03,muy_adverso,-2,9,7.5,9,13
2026-04,Baseline VAR,7.876517734432817,-0.10848088147600551,2.252821316833945,5.6329404514130825,5.899811338161592
2026-04,adverso,1,4.5,5.75,6.2,9.5
2026-04,muy_adverso,-1,8,7,8.5,12
2026-05,Baseline VAR,7.856086953408454,-0.11709920505217894,2.3970973789735734,5.627895686967303,5.889630871546077
2026-05,adverso,1.5,4,5.5,6,9
2026-05,muy_adverso,0,7,6.5,8,11
2026-06,Baseline VAR,7.743578239447408,-0.07751401299361713,2.5304891400136014,5.58742102334692,5.892792010891131
2026-06,adverso,-3.341253945306553,1.0273256257801189,5.273219987585907,5.770023868827585,8.961821764949981
2026-06,muy_adverso,-8.526187546818873,1.5737905053995447,6.151687475161529,7.5279400041655276,10.92079374074936
2026-07,Baseline VAR,7.552343967713891,-0.0367447997985114,2.651886086531526,5.530430405478285,5.904475119345332
2026-07,adverso,-4.745475958653021,-0.1520660249558494,5.013471321583535,5.454153768481272,9.050914093162877
2026-07,muy_adverso,-11.14039833345033,-0.6195434140244971,5.76517107820016,6.90773456073789,11.066599726470155
2026-08,Baseline VAR,7.3087204927437135,-0.009936814071972645,2.760996396624688,5.466760709111555,5.9219633533329965
2026-08,adverso,-3.322821590125459,0.2610123671331328,4.696647145503147,5.2980452742176976,9.140772982094472
2026-08,muy_adverso,-8.687241760980692,0.11974191634703771,5.2717036101620325,6.561558696938789,11.214478496837657
2026-09,Baseline VAR,7.0534839700708805,0.010147846320811137,2.8574859241901946,5.402608969187418,5.943649781263707
2026-09,adverso,-1.5635468447995358,0.7747099200035463,4.3847551583410285,5.2848649164511095,9.202461191276038
2026-09,muy_adverso,-5.60826940999147,1.0786851697537347,4.778752301272456,6.469327387845627,11.31408826888222
2026-10,Baseline VAR,6.814918525189558,0.030615664846742628,2.941479478008175,5.342290089248191,5.968406291502032
2026-10,adverso,-0.617249136583844,0.8094787168756703,4.122024041021627,5.296818137853081,9.240642156131075
2026-10,muy_adverso,-4.0065147406956445,1.1709593468000548,4.367012613154767,6.425134993892688,11.373155393985675
2026-11,Baseline VAR,6.601489091560774,0.05162612533425028,3.013786953374482,5.28812935425646,5.995398582357676
2026-11,adverso,-0.22334665682777022,0.6123668078824933,3.9073147544997187,5.2645324581350685,9.265050903319297
2026-11,muy_adverso,-3.4182428361978374,0.8302793358184242,4.035397381068205,6.305416374405363,11.40873027151792
2026-12,Baseline VAR,6.411347423088348,0.07074929530918597,3.0756113455212826,5.240657238205849,6.024042830423543
2026-12,adverso,0.10406783953829013,0.4830183461729125,3.723700179912282,5.18851832960432,9.27908730600291
2026-12,muy_adverso,-2.948734417036551,0.6052918588209446,3.753596304713914,6.111779082422921,11.426717896084044
